TSLA
date,tsla
26/03/2021,206.24
29/03/2021,203.76
30/03/2021,211.87
31/03/2021,222.64
01/04/2021,220.58
05/04/2021,230.35
06/04/2021,230.54
07/04/2021,223.66
08/04/2021,227.93
09/04/2021,225.67
12/04/2021,233.99
13/04/2021,254.11
14/04/2021,244.08
15/04/2021,246.28
16/04/2021,246.59
19/04/2021,238.21
20/04/2021,239.66
21/04/2021,248.04
22/04/2021,239.90
23/04/2021,243.13
26/04/2021,246.07
27/04/2021,234.91
28/04/2021,231.47
29/04/2021,225.67
30/04/2021,236.48
03/05/2021,228.30
04/05/2021,224.53
05/05/2021,223.65
06/05/2021,221.18
07/05/2021,224.12
10/05/2021,209.68
11/05/2021,205.73
12/05/2021,196.63
13/05/2021,190.56
14/05/2021,196.58
17/05/2021,192.28
18/05/2021,192.62
19/05/2021,187.82
20/05/2021,195.59
21/05/2021,193.63
24/05/2021,202.15
25/05/2021,201.56
26/05/2021,206.38
27/05/2021,210.28
28/05/2021,208.41
01/06/2021,207.97
02/06/2021,201.71
03/06/2021,190.95
04/06/2021,199.68
07/06/2021,201.71
08/06/2021,201.20
09/06/2021,199.59
10/06/2021,203.37
11/06/2021,203.30
14/06/2021,205.90
15/06/2021,199.79
16/06/2021,201.62
17/06/2021,205.53
18/06/2021,207.77
21/06/2021,206.94
22/06/2021,207.90
23/06/2021,218.86
24/06/2021,226.61
25/06/2021,223.96
28/06/2021,229.57
29/06/2021,226.92
30/06/2021,226.57
01/07/2021,225.97
02/07/2021,226.30
06/07/2021,219.86
07/07/2021,214.88
08/07/2021,217.60
09/07/2021,218.98
12/07/2021,228.57
13/07/2021,222.85
14/07/2021,217.79
15/07/2021,216.87
16/07/2021,214.74
19/07/2021,215.41
20/07/2021,220.17
21/07/2021,218.43
22/07/2021,216.42
23/07/2021,214.46
26/07/2021,219.21
27/07/2021,214.93
28/07/2021,215.66
29/07/2021,225.78
30/07/2021,229.07
02/08/2021,236.56
03/08/2021,236.58
04/08/2021,236.97
05/08/2021,238.21
06/08/2021,233.03
09/08/2021,237.92
10/08/2021,236.66
11/08/2021,235.94
12/08/2021,240.75
13/08/2021,239.06
16/08/2021,228.72
17/08/2021,221.90
18/08/2021,229.66
19/08/2021,224.49
20/08/2021,226.75
23/08/2021,235.43
24/08/2021,236.16
25/08/2021,237.07
26/08/2021,233.72
27/08/2021,237.31
30/08/2021,243.64
31/08/2021,245.24
01/09/2021,244.70
02/09/2021,244.13
03/09/2021,244.52
07/09/2021,250.97
08/09/2021,251.29
09/09/2021,251.62
10/09/2021,245.42
13/09/2021,247.67
14/09/2021,248.16
15/09/2021,251.94
16/09/2021,252.33
17/09/2021,253.16
20/09/2021,243.39
21/09/2021,246.46
22/09/2021,250.65
23/09/2021,251.21
24/09/2021,258.13
27/09/2021,263.79
28/09/2021,259.19
29/09/2021,260.44
30/09/2021,258.49
01/10/2021,258.41
04/10/2021,260.51
05/10/2021,260.20
06/10/2021,260.92
07/10/2021,264.54
08/10/2021,261.83
11/10/2021,263.98
12/10/2021,268.57
13/10/2021,270.36
14/10/2021,272.77
15/10/2021,281.01
18/10/2021,290.04
19/10/2021,288.09
20/10/2021,288.60
21/10/2021,298.00
22/10/2021,303.23
25/10/2021,341.62
26/10/2021,339.48
27/10/2021,345.95
28/10/2021,359.01
29/10/2021,371.33
01/11/2021,402.86
02/11/2021,390.67
03/11/2021,404.62
04/11/2021,409.97
05/11/2021,407.36
08/11/2021,387.65
09/11/2021,341.17
10/11/2021,355.98
11/11/2021,354.50
12/11/2021,344.47
15/11/2021,337.80
16/11/2021,351.58
17/11/2021,363.00
18/11/2021,365.46
19/11/2021,379.02
22/11/2021,385.62
23/11/2021,369.68
24/11/2021,372.00
26/11/2021,360.64
29/11/2021,379.00
30/11/2021,381.59
01/12/2021,365.00
02/12/2021,361.53
03/12/2021,338.32
06/12/2021,336.34
07/12/2021,350.58
08/12/2021,356.32
09/12/2021,334.60
10/12/2021,339.01
13/12/2021,322.14
14/12/2021,319.50
15/12/2021,325.33
16/12/2021,308.97
17/12/2021,310.86
20/12/2021,299.98
21/12/2021,312.84
22/12/2021,336.29
23/12/2021,355.67
27/12/2021,364.65
28/12/2021,362.82
29/12/2021,362.06
30/12/2021,356.78
31/12/2021,352.26
03/01/2022,399.93
04/01/2022,383.20
05/01/2022,362.71
06/01/2022,354.90
07/01/2022,342.32
10/01/2022,352.71
11/01/2022,354.80
12/01/2022,368.74
13/01/2022,343.85
14/01/2022,349.87
18/01/2022,343.50
19/01/2022,331.88
20/01/2022,332.09
21/01/2022,314.63
24/01/2022,310.00
25/01/2022,306.13
26/01/2022,312.47
27/01/2022,276.37
28/01/2022,282.12
31/01/2022,312.24
01/02/2022,310.42
02/02/2022,301.89
03/02/2022,297.05
04/02/2022,307.77
07/02/2022,302.45
08/02/2022,307.33
09/02/2022,310.67
10/02/2022,301.52
11/02/2022,286.67
14/02/2022,291.92
15/02/2022,307.48
16/02/2022,307.80
17/02/2022,292.12
18/02/2022,285.66
22/02/2022,273.84
23/02/2022,254.68
24/02/2022,266.92
25/02/2022,269.96
28/02/2022,290.14
01/03/2022,288.12
02/03/2022,293.30
03/03/2022,279.76
04/03/2022,279.43
07/03/2022,268.19
08/03/2022,274.80
09/03/2022,286.32
10/03/2022,279.43
11/03/2022,265.12
14/03/2022,255.46
15/03/2022,267.30
16/03/2022,280.08
17/03/2022,290.53
18/03/2022,301.80
21/03/2022,307.05
22/03/2022,331.33
23/03/2022,333.04
24/03/2022,337.97
25/03/2022,336.88
28/03/2022,363.95
29/03/2022,366.52
30/03/2022,364.66
31/03/2022,359.20
01/04/2022,361.53
04/04/2022,381.82
05/04/2022,363.75
06/04/2022,348.59
07/04/2022,352.42
08/04/2022,341.83
11/04/2022,325.31
12/04/2022,328.98
13/04/2022,340.79
14/04/2022,328.33
18/04/2022,334.76
19/04/2022,342.72
20/04/2022,325.73
21/04/2022,336.26
22/04/2022,335.02
25/04/2022,332.67
26/04/2022,292.14
27/04/2022,293.84
28/04/2022,292.50
29/04/2022,290.25
02/05/2022,300.98
03/05/2022,303.08
04/05/2022,317.54
05/05/2022,291.09
06/05/2022,288.55
09/05/2022,262.37
10/05/2022,266.68
11/05/2022,244.67
12/05/2022,242.67
13/05/2022,256.53
16/05/2022,241.46
17/05/2022,253.87
18/05/2022,236.60
19/05/2022,236.47
20/05/2022,221.30
23/05/2022,224.97
24/05/2022,209.39
25/05/2022,219.60
26/05/2022,235.91
27/05/2022,253.21
31/05/2022,252.75
01/06/2022,246.79
02/06/2022,258.33
03/06/2022,234.52
06/06/2022,238.28
07/06/2022,238.89
08/06/2022,241.87
09/06/2022,239.71
10/06/2022,232.23
13/06/2022,215.74
14/06/2022,220.89
15/06/2022,233.00
16/06/2022,213.10
17/06/2022,216.76
21/06/2022,237.04
22/06/2022,236.09
23/06/2022,235.07
24/06/2022,245.71
27/06/2022,244.92
28/06/2022,232.66
29/06/2022,228.49
30/06/2022,224.47
01/07/2022,227.26
05/07/2022,233.07
06/07/2022,231.73
07/07/2022,244.54
08/07/2022,250.76
11/07/2022,234.34
12/07/2022,233.07
13/07/2022,237.04
14/07/2022,238.31
15/07/2022,240.07
18/07/2022,240.55
19/07/2022,245.53
20/07/2022,247.50
21/07/2022,271.71
22/07/2022,272.24
25/07/2022,268.43
26/07/2022,258.86
27/07/2022,274.82
28/07/2022,280.90
29/07/2022,297.15
01/08/2022,297.28
02/08/2022,300.59
03/08/2022,307.40
04/08/2022,308.63
05/08/2022,288.17
08/08/2022,290.42
09/08/2022,283.33
10/08/2022,294.36
11/08/2022,286.63
12/08/2022,300.03
15/08/2022,309.32
16/08/2022,306.56
17/08/2022,304.00
18/08/2022,302.87
19/08/2022,296.67
22/08/2022,289.91
23/08/2022,296.45
24/08/2022,297.10
25/08/2022,296.07
26/08/2022,288.09
29/08/2022,284.82
30/08/2022,277.70
31/08/2022,275.61
01/09/2022,277.16
02/09/2022,270.21
06/09/2022,274.42
07/09/2022,283.70
08/09/2022,289.26
09/09/2022,299.68
12/09/2022,304.42
13/09/2022,292.13
14/09/2022,302.61
15/09/2022,303.75
16/09/2022,303.35
19/09/2022,309.07
20/09/2022,308.73
21/09/2022,300.80
22/09/2022,288.59
23/09/2022,275.33
26/09/2022,276.01
27/09/2022,282.94
28/09/2022,287.81
29/09/2022,268.21
30/09/2022,265.25
03/10/2022,242.40
04/10/2022,249.44
05/10/2022,240.81
06/10/2022,238.13
07/10/2022,223.07
10/10/2022,222.96
11/10/2022,216.50
12/10/2022,217.24
13/10/2022,221.72
14/10/2022,204.99
17/10/2022,219.35
18/10/2022,220.19
19/10/2022,222.04
20/10/2022,207.28
21/10/2022,214.44
24/10/2022,211.25
25/10/2022,222.42
26/10/2022,224.64
27/10/2022,225.09
28/10/2022,228.52
31/10/2022,227.54
01/11/2022,227.82
02/11/2022,214.98
03/11/2022,215.31
04/11/2022,207.47
07/11/2022,197.08
08/11/2022,191.30
09/11/2022,177.59
10/11/2022,190.72
11/11/2022,195.97
14/11/2022,190.95
15/11/2022,194.42
16/11/2022,186.92
17/11/2022,183.17
18/11/2022,180.19
21/11/2022,167.87
22/11/2022,169.91
23/11/2022,183.20
25/11/2022,182.86
28/11/2022,182.92
29/11/2022,180.83
30/11/2022,194.70
01/12/2022,194.70
02/12/2022,194.86
05/12/2022,182.45
06/12/2022,179.82
07/12/2022,174.04
08/12/2022,173.44
09/12/2022,179.05
12/12/2022,167.82
13/12/2022,160.95
14/12/2022,156.80
15/12/2022,157.67
16/12/2022,150.23
19/12/2022,149.87
20/12/2022,137.80
21/12/2022,137.57
22/12/2022,125.35
23/12/2022,123.15
27/12/2022,109.10
28/12/2022,112.71
29/12/2022,121.82
30/12/2022,123.18
03/01/2023,108.10
04/01/2023,113.64
05/01/2023,110.34
06/01/2023,113.06
09/01/2023,119.77
10/01/2023,118.85
11/01/2023,123.22
12/01/2023,123.56
13/01/2023,122.40
17/01/2023,131.49
18/01/2023,128.78
19/01/2023,127.17
20/01/2023,133.42
23/01/2023,143.75
24/01/2023,143.89
25/01/2023,144.43
26/01/2023,160.27
27/01/2023,177.90
30/01/2023,166.66
31/01/2023,173.22
01/02/2023,181.41
02/02/2023,188.27
03/02/2023,189.98
06/02/2023,194.76
07/02/2023,196.81
08/02/2023,201.29
09/02/2023,207.32
10/02/2023,196.89
13/02/2023,194.64
14/02/2023,209.25
15/02/2023,214.24
16/02/2023,202.04
17/02/2023,208.31
21/02/2023,197.37
22/02/2023,200.86
23/02/2023,202.07
24/02/2023,196.88
27/02/2023,207.63
28/02/2023,205.71
01/03/2023,202.77
02/03/2023,190.90
03/03/2023,197.79
06/03/2023,193.81
07/03/2023,187.71
08/03/2023,182.00
09/03/2023,172.92
10/03/2023,173.44
13/03/2023,174.48
14/03/2023,183.26
15/03/2023,180.45
16/03/2023,184.13
17/03/2023,180.13
20/03/2023,183.25
21/03/2023,197.58
22/03/2023,191.15
23/03/2023,192.22
24/03/2023,190.41
27/03/2023,191.81
28/03/2023,189.19
29/03/2023,193.88
30/03/2023,195.28
31/03/2023,207.46
03/04/2023,194.77
04/04/2023,192.58
05/04/2023,185.52
06/04/2023,185.06
10/04/2023,184.51
11/04/2023,186.79
12/04/2023,180.54
13/04/2023,185.90
14/04/2023,185.00
17/04/2023,187.04
18/04/2023,184.31
19/04/2023,180.59
20/04/2023,162.99
21/04/2023,165.08
24/04/2023,162.55
25/04/2023,160.67
26/04/2023,153.75
27/04/2023,160.19
28/04/2023,164.31
01/05/2023,161.83
02/05/2023,160.31
03/05/2023,160.61
04/05/2023,161.20
05/05/2023,170.06
08/05/2023,171.79
09/05/2023,169.15
10/05/2023,168.54
11/05/2023,172.08
12/05/2023,167.98
15/05/2023,166.35
16/05/2023,166.52
17/05/2023,173.86
18/05/2023,176.89
19/05/2023,180.14
22/05/2023,188.87
23/05/2023,185.77
24/05/2023,182.90
25/05/2023,184.47
26/05/2023,193.17
30/05/2023,201.16
31/05/2023,203.93
01/06/2023,207.52
02/06/2023,213.97
05/06/2023,217.61
06/06/2023,221.31
07/06/2023,224.57
08/06/2023,234.86
09/06/2023,244.40
12/06/2023,249.83
13/06/2023,258.71
14/06/2023,256.79
15/06/2023,255.90
16/06/2023,260.54
20/06/2023,274.45
21/06/2023,259.46
22/06/2023,264.61
23/06/2023,256.60
26/06/2023,241.05
27/06/2023,250.21
28/06/2023,256.24
29/06/2023,257.50
30/06/2023,261.77
03/07/2023,279.82
05/07/2023,282.48
06/07/2023,276.54
07/07/2023,274.43
10/07/2023,269.61
11/07/2023,269.79
12/07/2023,271.99
13/07/2023,277.90
14/07/2023,281.38
17/07/2023,290.38
18/07/2023,293.34
19/07/2023,291.26
20/07/2023,262.90
21/07/2023,260.02
24/07/2023,269.06
25/07/2023,265.28
26/07/2023,264.35
27/07/2023,255.71
28/07/2023,266.44
31/07/2023,267.43
01/08/2023,261.07
02/08/2023,254.11
03/08/2023,259.32
04/08/2023,253.86
07/08/2023,251.45
08/08/2023,249.70
09/08/2023,242.19
10/08/2023,245.34
11/08/2023,242.65
14/08/2023,239.76
15/08/2023,232.96
16/08/2023,225.60
17/08/2023,219.22
18/08/2023,215.49
21/08/2023,231.28
22/08/2023,233.19
23/08/2023,236.86
24/08/2023,230.04
25/08/2023,238.59
28/08/2023,238.82
29/08/2023,257.18
30/08/2023,256.90
31/08/2023,258.08
01/09/2023,245.01
05/09/2023,256.49
06/09/2023,251.92
07/09/2023,251.49
08/09/2023,248.50
11/09/2023,273.58
12/09/2023,267.48
13/09/2023,271.30
14/09/2023,276.04
15/09/2023,274.39
18/09/2023,265.28
19/09/2023,266.50
20/09/2023,262.59
21/09/2023,255.70
22/09/2023,244.88
25/09/2023,246.99
26/09/2023,244.12
27/09/2023,240.50
28/09/2023,246.38
29/09/2023,250.22
02/10/2023,251.60
03/10/2023,246.53
04/10/2023,261.16
05/10/2023,260.05
06/10/2023,260.53
09/10/2023,259.67
10/10/2023,263.62
11/10/2023,262.99
12/10/2023,258.87
13/10/2023,251.12
16/10/2023,253.92
17/10/2023,254.85
18/10/2023,242.68
19/10/2023,220.11
20/10/2023,211.99
23/10/2023,212.08
24/10/2023,216.52
25/10/2023,212.42
26/10/2023,205.76
27/10/2023,207.30
30/10/2023,197.36
31/10/2023,200.84
01/11/2023,205.66
02/11/2023,218.51
03/11/2023,219.96
06/11/2023,219.27
07/11/2023,222.18
08/11/2023,222.11
09/11/2023,209.98
10/11/2023,214.65
13/11/2023,223.71
14/11/2023,237.41
15/11/2023,242.84
16/11/2023,233.59
17/11/2023,234.30
20/11/2023,235.60
21/11/2023,241.20
22/11/2023,234.21
24/11/2023,235.45
27/11/2023,236.08
28/11/2023,246.72
29/11/2023,244.14
30/11/2023,240.08
01/12/2023,238.83
04/12/2023,235.58
05/12/2023,238.72
06/12/2023,239.37
07/12/2023,242.64
08/12/2023,243.84
11/12/2023,239.74
12/12/2023,237.01
13/12/2023,239.29
14/12/2023,251.05
15/12/2023,253.50
18/12/2023,252.08
19/12/2023,257.22
20/12/2023,247.14
21/12/2023,254.50
22/12/2023,252.54
26/12/2023,256.61
27/12/2023,261.44
28/12/2023,253.18
29/12/2023,248.48
02/01/2024,248.42
03/01/2024,238.45
04/01/2024,237.93
05/01/2024,237.49
08/01/2024,240.45
09/01/2024,234.96
10/01/2024,233.94
11/01/2024,227.22
12/01/2024,218.89
16/01/2024,219.91
17/01/2024,215.55
18/01/2024,211.88
19/01/2024,212.19
22/01/2024,208.80
23/01/2024,209.14
24/01/2024,207.83
25/01/2024,182.63
26/01/2024,183.25
29/01/2024,190.93
30/01/2024,191.59
31/01/2024,187.29
01/02/2024,188.86
02/02/2024,187.91
05/02/2024,181.06
06/02/2024,185.10
07/02/2024,187.58
08/02/2024,189.56
09/02/2024,193.57
12/02/2024,188.13
13/02/2024,184.02
14/02/2024,188.71
15/02/2024,200.45
16/02/2024,199.95
20/02/2024,193.76
21/02/2024,194.77
22/02/2024,197.41
23/02/2024,191.97
26/02/2024,199.40
27/02/2024,199.73
28/02/2024,202.04
29/02/2024,201.88
01/03/2024,202.64
04/03/2024,188.14
05/03/2024,180.74
06/03/2024,176.54
07/03/2024,178.65
08/03/2024,175.34
11/03/2024,177.77
12/03/2024,177.54
13/03/2024,169.48
14/03/2024,162.50
15/03/2024,163.57
18/03/2024,173.80
19/03/2024,171.32
20/03/2024,175.66
21/03/2024,172.82
22/03/2024,170.83
25/03/2024,172.63
26/03/2024,177.67
27/03/2024,179.83
28/03/2024,175.79
01/04/2024,175.22
02/04/2024,166.63
03/04/2024,168.38
04/04/2024,171.11
05/04/2024,164.90
08/04/2024,172.98
09/04/2024,176.88
10/04/2024,171.76
11/04/2024,174.60
12/04/2024,171.05
15/04/2024,161.48
16/04/2024,157.11
17/04/2024,155.45
18/04/2024,149.93
19/04/2024,147.05
22/04/2024,142.05
23/04/2024,144.68
24/04/2024,162.13
25/04/2024,170.18
26/04/2024,168.29
29/04/2024,194.05
30/04/2024,183.28
01/05/2024,179.99
02/05/2024,180.01
03/05/2024,181.19
06/05/2024,184.76
07/05/2024,177.81
08/05/2024,174.72
09/05/2024,171.97
10/05/2024,168.47
13/05/2024,171.89
14/05/2024,177.55
15/05/2024,173.99
16/05/2024,174.84
17/05/2024,177.46
20/05/2024,174.95
21/05/2024,186.60
22/05/2024,180.11
23/05/2024,173.74
24/05/2024,179.24
28/05/2024,176.75
29/05/2024,176.19
30/05/2024,178.79
31/05/2024,178.08
03/06/2024,176.29
04/06/2024,174.77
05/06/2024,175.00
06/06/2024,177.94
07/06/2024,177.48
10/06/2024,173.79
11/06/2024,170.66
12/06/2024,177.29
13/06/2024,182.47
14/06/2024,178.01
17/06/2024,187.44
18/06/2024,184.86
20/06/2024,181.57
21/06/2024,183.01
24/06/2024,182.58
25/06/2024,187.35
26/06/2024,196.37
27/06/2024,197.42
28/06/2024,197.88
01/07/2024,209.86
02/07/2024,231.26
03/07/2024,246.39
05/07/2024,251.52
08/07/2024,252.94
09/07/2024,262.33
10/07/2024,263.26
11/07/2024,241.03
12/07/2024,248.23
15/07/2024,252.64
16/07/2024,256.56
17/07/2024,248.50
18/07/2024,249.23
19/07/2024,239.20
22/07/2024,251.51
23/07/2024,246.38
24/07/2024,215.99
25/07/2024,220.25
26/07/2024,219.80
29/07/2024,232.10
30/07/2024,222.62
31/07/2024,232.07
01/08/2024,216.86
02/08/2024,207.67
05/08/2024,198.88
06/08/2024,200.64
07/08/2024,191.76
08/08/2024,198.84
09/08/2024,200.00
12/08/2024,197.49
13/08/2024,207.83
14/08/2024,201.38
15/08/2024,214.14
16/08/2024,216.12
19/08/2024,222.72
20/08/2024,221.10
21/08/2024,223.27
22/08/2024,210.66
23/08/2024,220.32
26/08/2024,213.21
27/08/2024,209.21
28/08/2024,205.75
29/08/2024,206.28
30/08/2024,214.11
03/09/2024,210.60
04/09/2024,219.41
05/09/2024,230.17
06/09/2024,210.73
09/09/2024,216.27
10/09/2024,226.17
11/09/2024,228.13
12/09/2024,229.81
13/09/2024,230.29
16/09/2024,226.78
17/09/2024,227.87
18/09/2024,227.20
19/09/2024,243.92
20/09/2024,238.25
23/09/2024,250.00
24/09/2024,254.27
25/09/2024,257.02
26/09/2024,254.22
27/09/2024,260.46
30/09/2024,261.63
01/10/2024,258.02
02/10/2024,249.02
03/10/2024,240.66
04/10/2024,250.08
07/10/2024,240.83
08/10/2024,244.50
09/10/2024,241.05
10/10/2024,238.77
11/10/2024,217.80
14/10/2024,219.16
15/10/2024,219.57
16/10/2024,221.33
17/10/2024,220.89
18/10/2024,220.70
21/10/2024,218.85
22/10/2024,217.97
23/10/2024,213.65
24/10/2024,260.48
25/10/2024,269.19
28/10/2024,262.51
29/10/2024,259.52
30/10/2024,257.55
31/10/2024,249.85
01/11/2024,248.98
04/11/2024,242.84
05/11/2024,251.44
06/11/2024,288.53
07/11/2024,296.91
08/11/2024,321.22
11/11/2024,350.00
12/11/2024,328.49
13/11/2024,330.24
14/11/2024,311.18
15/11/2024,320.72
18/11/2024,338.74
19/11/2024,346.00
20/11/2024,342.03
21/11/2024,339.64
22/11/2024,352.56
25/11/2024,338.59
26/11/2024,338.23
27/11/2024,332.89
29/11/2024,345.16
02/12/2024,357.09
03/12/2024,351.42
04/12/2024,357.93
05/12/2024,369.49
06/12/2024,389.22
09/12/2024,389.79
10/12/2024,400.99
11/12/2024,424.77
12/12/2024,418.10
13/12/2024,436.23
16/12/2024,463.02
17/12/2024,479.86
18/12/2024,440.13
19/12/2024,436.17
20/12/2024,421.06
23/12/2024,430.60
24/12/2024,462.28
26/12/2024,454.13
27/12/2024,431.66
30/12/2024,417.41
31/12/2024,403.84
02/01/2025,379.28
03/01/2025,410.44
06/01/2025,411.05
07/01/2025,394.36
08/01/2025,394.94
10/01/2025,394.74
13/01/2025,403.31
14/01/2025,396.36
15/01/2025,428.22
16/01/2025,413.82
17/01/2025,426.50
21/01/2025,424.07
22/01/2025,415.11
23/01/2025,412.38
24/01/2025,406.58
27/01/2025,397.15
28/01/2025,398.09
29/01/2025,389.10
30/01/2025,400.28
31/01/2025,404.60
03/02/2025,383.68
04/02/2025,392.21
05/02/2025,378.17
06/02/2025,374.32
07/02/2025,361.62
10/02/2025,350.73
11/02/2025,328.50
12/02/2025,336.51
13/02/2025,355.94
14/02/2025,355.84
18/02/2025,354.11
19/02/2025,360.56
20/02/2025,354.40
21/02/2025,337.80
24/02/2025,330.53
25/02/2025,302.80
26/02/2025,290.80
27/02/2025,281.95
28/02/2025,292.98
03/03/2025,284.65
04/03/2025,272.04
05/03/2025,279.10
06/03/2025,263.45
07/03/2025,262.67
10/03/2025,222.15
11/03/2025,230.58
12/03/2025,248.09
13/03/2025,240.68
14/03/2025,249.98
17/03/2025,238.01
18/03/2025,225.31
19/03/2025,235.86
20/03/2025,236.26
21/03/2025,248.71
24/03/2025,278.39
25/03/2025,288.14
26/03/2025,272.06
27/03/2025,273.13
28/03/2025,263.55
31/03/2025,259.16
01/04/2025,268.46
02/04/2025,282.76
03/04/2025,267.28
04/04/2025,239.43
07/04/2025,233.29
08/04/2025,221.86
09/04/2025,272.20
10/04/2025,252.40
11/04/2025,252.31
14/04/2025,252.35
15/04/2025,254.11
16/04/2025,241.55
17/04/2025,241.37
21/04/2025,227.50
22/04/2025,237.97
23/04/2025,250.74
24/04/2025,259.51
25/04/2025,284.95
28/04/2025,285.88
29/04/2025,292.03
30/04/2025,282.16
01/05/2025,280.52
02/05/2025,287.21
05/05/2025,280.26
06/05/2025,275.35
07/05/2025,276.22
08/05/2025,284.82
09/05/2025,298.26
12/05/2025,318.38
13/05/2025,334.07
14/05/2025,347.68
15/05/2025,342.82
16/05/2025,349.98
19/05/2025,342.09
20/05/2025,343.82
21/05/2025,334.62
22/05/2025,341.04
23/05/2025,339.34
27/05/2025,362.89
28/05/2025,356.90
29/05/2025,358.43
30/05/2025,346.46
02/06/2025,342.69
03/06/2025,344.27
04/06/2025,332.05
05/06/2025,284.70
06/06/2025,295.14
09/06/2025,308.58
10/06/2025,326.09
11/06/2025,326.43
12/06/2025,319.11
13/06/2025,325.31
16/06/2025,329.13
17/06/2025,316.35
18/06/2025,322.05
20/06/2025,322.16
23/06/2025,348.68
24/06/2025,340.47
25/06/2025,327.55
26/06/2025,325.78
27/06/2025,323.63
30/06/2025,317.66
01/07/2025,300.71
02/07/2025,315.65
03/07/2025,315.35
07/07/2025,293.94
08/07/2025,297.81
09/07/2025,295.88
10/07/2025,309.87
11/07/2025,313.51
14/07/2025,316.90
15/07/2025,310.78
16/07/2025,321.67
17/07/2025,319.41
18/07/2025,329.65
21/07/2025,328.49
22/07/2025,332.11
23/07/2025,332.56
24/07/2025,305.30
25/07/2025,316.06
28/07/2025,325.59
29/07/2025,321.20
30/07/2025,319.04
31/07/2025,308.27
01/08/2025,302.63
04/08/2025,309.26
05/08/2025,0.00
